"assignee_id"	"assignee_type"	"disambig_assignee_individual_name_first"	"disambig_assignee_individual_name_last"	"disambig_assignee_organization"
"org_0091Wgq4Bg94JVlcITxl"	3	NA	NA	"Sunonwealth Electric Machine Industry Co., Ltd."
"org_00Dbm3Vu3Xbr8BEj36Qj"	3	NA	NA	"Salvagnini Italia S.p.A."
"org_00FwjyuJdxgseHjinQju"	3	NA	NA	"Cycos Aktiengesellschaft"
"org_00gq8seLo4FITDLjpFjo"	2	NA	NA	"Abbott Medical Optics Inc."
"org_00soup7Gqni9RGsLRCuv"	2	NA	NA	"Water Pik, Inc."
"org_01Eslcv44Btt3LOORzjw"	2	NA	NA	"Secure Anchoring & Foundation Equipment, Inc."
"org_01GDitjXIwtj2AtJkGdF"	2	NA	NA	"Isilon Systems, Inc."
"org_02BgHVIptxkwwgTojPVJ"	3	NA	NA	"Tokyo Tanabe Company Limited"
"org_03l2KCtX7NIiZGmI20nP"	3	NA	NA	"Fiat Auto S.p.A."
"org_03PiHtPtevDAqgCv4plZ"	3	NA	NA	"Topotarget Switzerland SA"
"org_04A4Ds1oOLPwdGBmcdAt"	3	NA	NA	"TOMTOM NAVIGATION B.V."
"org_04hAhkAmS8DDcQJD2aCZ"	2	NA	NA	"Duke University"
"org_04MtvYhtA1Fpy5b5tW5U"	2	NA	NA	"Energy Conversion Devices, Inc."
"org_04nBG0Kr6c0saYt3Ed6k"	3	NA	NA	"Orion Machinery Co., Ltd."
"org_04QqccaZoeKiNeNEFLg4"	2	NA	NA	"Theravance Biopharma R&D IP, LLC"
"org_04SauWkq0vNVekewqTB3"	2	NA	NA	"The Torrington Company"
"org_04vIAUGJYxqtiLJ1jM2c"	2	NA	NA	"Minds and Technologies, Inc."
"org_04vQMjNXIEToNwxavZGY"	2	NA	NA	"International Decontamination Systems LLC"
"org_05JaPId7CYq3q54Tzbo6"	2	NA	NA	"Theoretical Thermionics, Inc."
"org_05kpQnY4SohLDvg5ym0R"	2	NA	NA	"Circadence Corporation"
"org_05TMft1c3rO1dNt1x1DZ"	2	NA	NA	"General Kap Corporation"
"org_05TSzF7TwYt3s8gf59HX"	2	NA	NA	"PolyPlus Batter Company"
"org_06HoCNHnZnRQhv0bj3t4"	3	NA	NA	"Avl Gesellschaft Fur verbrennungskraftmaschinen und Messtechnik M.B.H. Prof.Dr.Dr.h.c. Hans List"
"org_06ZdizmQGq4UPKS4egED"	3	NA	NA	"Toshiba Global Commerce Solutions Holdings Corporation"
"org_07ak6k2CFqSTNU4b4YPh"	2	NA	NA	"VIANT AS&O HOLDINGS, LLC"
"org_07mWmFP6qQSpOd1S4Z0B"	2	NA	NA	"Star Chemical, Inc."
"org_07oiunH1ZzAcJLh2Gw3F"	2	NA	NA	"Bushnell Performance Optics"
"org_07uBf5FCzrTq73SoOqQZ"	2	NA	NA	"International Business Machines Corporation"
"org_08NoTK8EAVwWLxtKIaQo"	2	NA	NA	"Apple Inc."
"org_08p0jdL7s8JIFhcJ2VsK"	2	NA	NA	"AVANTech, Inc."
"org_08umgfOxxVngmo9xPgeN"	2	NA	NA	"Centocor, Inc."
"org_0909kI7jro4XflMhR9cX"	3	NA	NA	"Nippon Air Brake Co., Ltd."
"org_09YJFITXR34nbwP5bxzP"	2	NA	NA	"Texas Digital Systems, Inc."
"org_09ZLF5DswU5gqBrlMpKM"	2	NA	NA	"Brookshire Tool & Mfg Co., Inc."
"org_0A2TKisqEFEx6wQk3v8K"	3	NA	NA	"Soroco Private Limited"
"org_0a4YDYYRFvpYv9X7UZjG"	2	NA	NA	"Metrodigi, Inc."
"org_0A7U7iaLFe5HlDVCn0MI"	2	NA	NA	"Shiley Scientific, Inc."
"org_0Ak28V5fhlzrxGxWVIyY"	3	NA	NA	"Agroteam Consultants Ltd."
"org_0Al1k0f6ncQywxnDGzRt"	2	NA	NA	"Northrop Grumman Corporation"
"org_0Al6btCMQZFsCypfW3GH"	3	NA	NA	"MC-Konerakennus Oy"
"org_0amWdtY0Pwp3T3DJZAHZ"	2	NA	NA	"Jefferson Smurfit Corporation"
"org_0aofW08KHy3Zb7vwLXxP"	2	NA	NA	"Tequipment, Inc."
"org_0ASjLViQ6pNxWjI2cmIn"	2	NA	NA	"Electrolux Home Products, Inc."
"org_0aTQJN4kEKecDMPFJJFp"	3	NA	NA	"INTELLIGENT ENERGY LIMITED"
"org_0B0cGVTSKTuadAjT07Bk"	2	NA	NA	"Gourmet Gardens Corporation"
"org_0b8GBslq0ewB0ltHXtXN"	2	NA	NA	"Barry-Wehmiller Company"
"org_0bH23UZctR1fHpZ3srL2"	2	NA	NA	"Schmitt Industries, Inc."
"org_0BJwQBrBLpDNh3Pw71H2"	2	NA	NA	"RGP INNOVATIONS, LLC"
"org_0BkSact8gCDmFjJl1LBJ"	3	NA	NA	"SEEREAL TECHNOLOGIES S.A."
"org_0C4rCop6z8I5tlj7sF0o"	2	NA	NA	"Lightwave Solutions, Inc."
"org_0CLYqmT2pAa9PfL6Td6A"	2	NA	NA	"Galderma Laboratories, L.P."
"org_0COnWFY73O70m4OhJ6UZ"	2	NA	NA	"NanoLambda, Inc."
